"","ID","del","m","n","b","cn","cp","cnp","cpn","g","rhop","rhon","Cnp"
"1",1,0.1,0.2,0,0.8,0.05,0.05,0.05,0.2,0,0.719,0,NA
"2",2,0.1,0.2,0,0.7,0.05,0.05,0.05,0.2,0,0.675,0,NA
"3",3,0.1,0.2,0,0.6,0.05,0.05,0.05,0.2,0,0.614,0,NA
"4",4,0.1,0.2,0,0.5,0.05,0.05,0.05,0.2,0,0.527,0,NA
"5",5,0.1,0.2,0,0.4,0.05,0.05,0.05,0.2,0,0.394,0,NA
"6",6,0.1,0.2,0,0.8,0.1,0.05,0.05,0.2,0,0.719,0,NA
"7",7,0.1,0.2,0,0.7,0.1,0.05,0.05,0.2,0,0.675,0,NA
"8",8,0.1,0.2,0,0.6,0.1,0.05,0.05,0.2,0,0.614,0,NA
"9",9,0.1,0.2,0,0.5,0.1,0.05,0.05,0.2,0,0.527,0,NA
"10",10,0.1,0.2,0,0.4,0.1,0.05,0.05,0.2,0,0.394,0,NA
"11",11,0.1,0.2,0,0.8,0.15,0.05,0.05,0.2,0,0.719,0,NA
"12",12,0.1,0.2,0,0.7,0.15,0.05,0.05,0.2,0,0.675,0,NA
"13",13,0.1,0.2,0,0.6,0.15,0.05,0.05,0.2,0,0.614,0,NA
"14",14,0.1,0.2,0,0.5,0.15,0.05,0.05,0.2,0,0.527,0,NA
"15",15,0.1,0.2,0,0.4,0.15,0.05,0.05,0.2,0,0.394,0,NA
"16",16,0.1,0.2,0,0.8,0.2,0.05,0.05,0.2,0,0.719,0,NA
"17",17,0.1,0.2,0,0.7,0.2,0.05,0.05,0.2,0,0.675,0,NA
"18",18,0.1,0.2,0,0.6,0.2,0.05,0.05,0.2,0,0.614,0,NA
"19",19,0.1,0.2,0,0.5,0.2,0.05,0.05,0.2,0,0.527,0,NA
"20",20,0.1,0.2,0,0.4,0.2,0.05,0.05,0.2,0,0.394,0,NA
"21",21,0.1,0.2,0,0.8,0.05,0.1,0.05,0.2,0,0.705,0,NA
"22",22,0.1,0.2,0,0.7,0.05,0.1,0.05,0.2,0,0.657,0,NA
"23",23,0.1,0.2,0,0.6,0.05,0.1,0.05,0.2,0,0.592,0,NA
"24",24,0.1,0.2,0,0.5,0.05,0.1,0.05,0.2,0,0.499,0,NA
"25",25,0.1,0.2,0,0.4,0.05,0.1,0.05,0.2,0,0.362,0,NA
"26",26,0.1,0.2,0,0.8,0.1,0.1,0.05,0.2,0,0.705,0,NA
"27",27,0.1,0.2,0,0.7,0.1,0.1,0.05,0.2,0,0.657,0,NA
"28",28,0.1,0.2,0,0.6,0.1,0.1,0.05,0.2,0,0.592,0,NA
"29",29,0.1,0.2,0,0.5,0.1,0.1,0.05,0.2,0,0.499,0,NA
"30",30,0.1,0.2,0,0.4,0.1,0.1,0.05,0.2,0,0.362,0,NA
"31",31,0.1,0.2,0,0.8,0.15,0.1,0.05,0.2,0,0.705,0,NA
"32",32,0.1,0.2,0,0.7,0.15,0.1,0.05,0.2,0,0.657,0,NA
"33",33,0.1,0.2,0,0.6,0.15,0.1,0.05,0.2,0,0.592,0,NA
"34",34,0.1,0.2,0,0.5,0.15,0.1,0.05,0.2,0,0.499,0,NA
"35",35,0.1,0.2,0,0.4,0.15,0.1,0.05,0.2,0,0.362,0,NA
"36",36,0.1,0.2,0,0.8,0.2,0.1,0.05,0.2,0,0.705,0,NA
"37",37,0.1,0.2,0,0.7,0.2,0.1,0.05,0.2,0,0.657,0,NA
"38",38,0.1,0.2,0,0.6,0.2,0.1,0.05,0.2,0,0.592,0,NA
"39",39,0.1,0.2,0,0.5,0.2,0.1,0.05,0.2,0,0.499,0,NA
"40",40,0.1,0.2,0,0.4,0.2,0.1,0.05,0.2,0,0.362,0,NA
"41",41,0.1,0.2,0,0.8,0.05,0.15,0.05,0.2,0,0.69,0,NA
"42",42,0.1,0.2,0,0.7,0.05,0.15,0.05,0.2,0,0.638,0,NA
"43",43,0.1,0.2,0,0.6,0.05,0.15,0.05,0.2,0,0.569,0,NA
"44",44,0.1,0.2,0,0.5,0.05,0.15,0.05,0.2,0,0.472,0,NA
"45",45,0.1,0.2,0,0.4,0.05,0.15,0.05,0.2,0,0.333,0,NA
"46",46,0.1,0.2,0,0.8,0.1,0.15,0.05,0.2,0,0.69,0,NA
"47",47,0.1,0.2,0,0.7,0.1,0.15,0.05,0.2,0,0.638,0,NA
"48",48,0.1,0.2,0,0.6,0.1,0.15,0.05,0.2,0,0.569,0,NA
"49",49,0.1,0.2,0,0.5,0.1,0.15,0.05,0.2,0,0.472,0,NA
"50",50,0.1,0.2,0,0.4,0.1,0.15,0.05,0.2,0,0.333,0,NA
"51",51,0.1,0.2,0,0.8,0.15,0.15,0.05,0.2,0,0.69,0,NA
"52",52,0.1,0.2,0,0.7,0.15,0.15,0.05,0.2,0,0.638,0,NA
"53",53,0.1,0.2,0,0.6,0.15,0.15,0.05,0.2,0,0.569,0,NA
"54",54,0.1,0.2,0,0.5,0.15,0.15,0.05,0.2,0,0.472,0,NA
"55",55,0.1,0.2,0,0.4,0.15,0.15,0.05,0.2,0,0.333,0,NA
"56",56,0.1,0.2,0,0.8,0.2,0.15,0.05,0.2,0,0.69,0,NA
"57",57,0.1,0.2,0,0.7,0.2,0.15,0.05,0.2,0,0.638,0,NA
"58",58,0.1,0.2,0,0.6,0.2,0.15,0.05,0.2,0,0.569,0,NA
