"","ID","del","m","n","b","cn","cp","cnp","cpn","g","rhop","rhon","Cnp","Cnn","Cpp"
"1",1,0.1,0.02,0,0.8,0.2,0.2,0.1,0.1,0,0.467,0.502,0.767806717455659,1.21426644021523,1.25178252915094
"2",2,0.1,0.02,0,0.7,0.2,0.2,0.1,0.1,0,0.473,0.491,0.766438600948145,1.22365512006338,1.24257472209682
"3",3,0.1,0.02,0,0.6,0.2,0.2,0.1,0.1,0,0.474,0.482,0.765971602149973,1.23103941047847,1.24178817497196
"4",4,0.1,0.02,0,0.5,0.2,0.2,0.1,0.1,0,0.471,0.473,0.763074381797534,1.23810502885187,1.23962657939696
"5",5,0.1,0.02,0,0.4,0.2,0.2,0.1,0.1,0,0.461,0.462,0.760627658675381,1.24154344933566,1.24693559695277
"6",6,0.1,0.02,0,0.8,0.2,0.2,0.1,0.15,0,0.596,0.373,0.769203087608183,1.36563908315304,1.14578172154407
"7",7,0.1,0.02,0,0.7,0.2,0.2,0.1,0.15,0,0.61,0.353,0.766265731667673,1.39636783859914,1.13679118516528
"8",8,0.1,0.02,0,0.6,0.2,0.2,0.1,0.15,0,0.62,0.335,0.765527202696196,1.43461795500111,1.1264308012487
"9",9,0.1,0.02,0,0.5,0.2,0.2,0.1,0.15,0,0.621,0.32,0.764895330112721,1.46484375,1.12539901099727
"10",10,0.1,0.02,0,0.4,0.2,0.2,0.1,0.15,0,0.611,0.308,0.754564584351818,1.48633833698769,1.12503716640639
"11",11,0.1,0.02,0,0.8,0.2,0.2,0.1,0.2,0,0.773,0.195,0.769562477195077,1.9197896120973,1.05768925022886
"12",12,0.1,0.02,0,0.7,0.2,0.2,0.1,0.2,0,0.803,0.159,0.767561894468072,2.17554685336814,1.04527077010402
"13",13,0.1,0.02,0,0.6,0.2,0.2,0.1,0.2,0,0.828,0.124,0.769440548542933,2.53642039542144,1.0370720436883
"14",14,0.1,0.02,0,0.5,0.2,0.2,0.1,0.2,0,0.847,0.091,0.76546829793583,3.13971742543171,1.02591408805856
"15",15,0.1,0.02,0,0.4,0.2,0.2,0.1,0.2,0,0.85,0.061,0.752169720347155,4.29991937651169,1.01868512110727
"16",16,0.1,0.02,0,0.8,0.2,0.2,0.1,0.25,0,0.921,0.045,0.772107612498492,5.92592592592593,1.0126838952609
"17",17,0.1,0.02,0,0.7,0.2,0.2,0.1,0.25,0,0.938,0.022,0.775344058926149,10.3305785123967,1.00586012975027
"18",18,0.1,0.02,0,0.6,0.2,0.2,0.1,0.25,0,0.943,0.008,0.795334040296925,31.25,1.00196907727757
